"","ID","Amout","Description","Grantmakers","Tags","Grantees (research)","Grantees (organisations)","Grantees (other)","Start year","Funder type","Recipients type","Source","Source_2"
"123",81,"$639,098","The goal is to develop a 3D-printed wound dressing based on renewable marine raw materials that is clinically safety-tested in animals and ready for a clinical study in patients. The matrix material is composed of alginate from seaweed and cellulose from tunicates.","Norwegian Research Council","Pharmaceuticals","","","Regenics","2020","Government","Private sector","https://prosjektbanken.forskningsradet.no/en/project/FORISS/311702",""
"133",82,"$623,532","Genetic and epigenetic regulation of the life cycle of the brown alga Ectocarpus - Epicycle","ANR - National Research Agency France","Genetics / Biochemistry","LBI2M Laboratoire de Biologie intégrative des modèles marins","","UFIP Unité de fonctionnalité et Ingénierie des Protéines","2020","Government","Univ / Research institute","https://anr.fr/Projet-ANR-19-CE20-0028",""
"143",83,"$500,000","Reef Check aims to remove urchins from targeted locations with the goal of providing opportunities for kelp forest to regrow where they once were abundant.","California Ocean Protection Council","Conservation and restoration","","Reef Check","","2020","Government","Non-profit","https://www.reefcheck.org/reef-check-receives-grant-for-kelp-forest-restoration-efforts-in-northern-california/",""
"153",84,"$467,330","to support restorative aquaculture science, specifically the habitat value of kelp aquaculture and kelp-shellfish co-culture in New Zealand and Maine","Builders Initiative","IMTA","","The Nature Conservancy","","2020","Philanthropic","Non-profit","",""
"163",85,"$451,794","In the Carbonor project alginate and cellulose will be extracted and refined by using Alginor?s existing technology, and the main goal of the project is to further process these fractions into biomedical applications of high quality.","Eurostars","Processing / Biorefinery","","Alginor","","2020","Government","Private sector","https://prosjektbanken.forskningsradet.no/en/project/FORISS/317295",""
"173",86,"$428,749","SEASOLUTIONS - Seaweeds and seaweed-ingredients to reduce enteric methane emissions from pasture-based sheep, cattle and dairy cows","Norwegian Research Council","Livestock methane reduction","NIBIO - Norsk Institutt For Bioøkonomi","","","2020","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/308942",""
"183",87,"$333,441","A multi-pronged approach to kelp recovery along california’s north coast","California Sea Grant","Conservation and restoration","Bodega Marine Laboratory @ UC Davis","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"193",88,"$316,000","Carbon sequestration by seaweed farms","Grantham Foundation For The Protection Of The Environment","CDR","","Oceans 2050","","2020","Philanthropic","Non-profit","",""
"203",89,"$312,832","This project aims to understand the molecular components for the production of bioactive natural products in a seaweed that, when fed to cattle and sheep, cuts out methane emissions.","Australian Research Council","Livestock methane reduction","University of the Sunshine Coast","","","2020","Government","Univ / Research institute","https://dataportal.arc.gov.au/NCGP/Web/Grant/Grant/DP200103013",""
"213",90,"$303,037","Restoring Blue Forests with Green Gravel","Australian Research Council","Conservation and restoration","University of Western Australia","","","2020","Government","Univ / Research institute","https://www.news.uwa.edu.au/archive/2020051112068/arc/help-me-kelp-you-arc-grant-supports-kelp-restoration-project/",""
"223",91,"$263,117","Halogen metabolism of brown macroalgae and its biological significance in the context of pathologies - An omics approach","Horizon2020","Diseases","","","Aberdeen University","2020","Government","Univ / Research institute","https://cordis.europa.eu/project/id/839151",""
"233",92,"$256,000","to further research and development efforts on Asparagopsis aquaculture","National Science Foundation (NSF)","Livestock methane reduction","","Symbrosia","","2020","Government","Private sector","https://symbrosia.co/blog/nsffunded",""
"116",93,"$255,999","to provide a nearshore (just offshore of inhabited coastal land, in shallow water) solution to reduce coastal flooding. The proposed project addresses a need to lessen heavy flood protection solutions based on carbon-intensive concrete in the form of seawalls and other barriers. This project will prototype an interconnected network of floating growth mats, made to seed marsh grass above the water and seaweed below. The heavy biomass of these mats and their network properties as a large intercon","National Science Foundation (NSF)","Coastal defense","","Emerald Tutu","","2020","Government","Private sector","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2016199",""
"27",94,"$255,125","Seaweed forests of the future: responses to ocean acidification and warming. The aim is to discover if rising levels of oceanic carbon dioxide will offset negative effects of ocean warming on seaweeds, using targeted physiological experiments together with novel molecular diagnostics.","Australian Research Council","Ecology / Plant biology","University of Tasmania","","","2020","Government","Univ / Research institute","https://dataportal.arc.gov.au/NCGP/Web/Grant/Grant/DP200101467",""
"34",95,"$254,187","This research will provide critical missing data on the potential role of macroalgae as a reservoir of pathogenic Vibrio (Objective #1). We will determine whether or not macroalgae increase pathogenic Vibrio spp. concentrations in the surrounding environment such as in the sediment or oysters (Objective #2). And this research will provide data on the environmental parameters associated with total and pathogenic Vibrio spp. in RI coastal waters, including those associated with oyster and kelp aqu","Rhode Island Sea Grant","Food safety","Roger Williams University
Boston University","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"44",96,"$252,756","HEALTHY SEAWEED New sustainable foods: health benefits of seaweed consumption","Norwegian Research Council","New foods
Cultivation techniques","","","Kvitsøy Sjøtjenester","2020","Government","Private sector","https://prosjektbanken.forskningsradet.no/en/project/FORISS/312065",""
"54",97,"$237,000","to develop interdisciplinary road maps for ocean-based Carbon Dioxide Removal, including macroalgal CDR","Climateworks Foundation","Capacity building / outreach","","","Ocean Visions","2020","Non-profit","Non-profit","",""
"64",98,"$195,832","Informing restoration and recovery of central coast kelp forests: understanding the dynamics of urchin recruitment, reproduction and density","California Sea Grant","Conservation and restoration","California State University Monterey Bay","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"74",99,"$173,802","Assessment of practical methods for re-establishment of northern california bull kelp populations at an ecologically relevant scale","California Sea Grant","Conservation and restoration","San Jose State University","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"84",100,"$165,780","to explore the carbon sequestration benefits of seaweed aquaculture","Climateworks Foundation","CDR","","","Global Water Challenge","2020","Non-profit","Non-profit","",""
"94",101,"$159,372","to support the research for wild and farmed kelp as a climate change mitigation strategy and the workshop to share the findings with the scientific, policy and business community.","Builders Initiative","CDR","","Conservation International","","2020","Philanthropic","Non-profit","",""
"104",102,"$155,014","Scaling a new cost-effective intervention tool to restore and future-proof coastal kelp forests","California Sea Grant","Conservation and restoration","Sustainable Seaweed Solutions @ UC Irvine Department of Earth System Science","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"117",103,"$150,000","For the development of guidance for socially and environmentally responsible cultivation of red seaweed as a livestock feed supplement to reduce enteric methane","David and Lucile Packard Foundation","Livestock methane reduction","","Greener Grazing","","2020","Philanthropic","Private sector","https://www.packard.org/grants-and-investments/grants-database/greener-grazing-llc/",""
"124",104,"$147,238","PEBL-Hatch: Modular, semi-automated high-value seaweed seed production system / Native-Nori: UK-Native Seaweed (Nori) Aquaculture for Nutrient-Dense, Low Resource-Use Foods","Innovate UK","Cultivation techniques","","Plant Ecology Beyond Land (Pebl)","","2020","Government","Private sector","https://gtr.ukri.org/organisation/9AB99236-552C-4EB3-B79A-192DDFAB25D3",""
"134",105,"$138,517","to evaluate the possibility of employing kelp aquaculture to produce drop-in transportation fuels and high-value chemicals (hydrocarbons).","Washington Sea Grant","Energy","University of Washington
Washington Sea Grant","Blue Dot Sea Farms","","2020","Government","Private-public consortium","https://seagrant.noaa.gov/insideseagrant/database",""
"144",106,"$122,977","Bioeconomic model for estimating Costs and Carbon benefits of large-scale seaweed aquaculture, will be published as an online tool","Climateworks Foundation","Modeling","Sustainable Seaweed Solutions @ UC Irvine Department of Earth System Science","","","2020","Non-profit","Univ / Research institute","",""
"154",107,"$110,000","To bring back Oregon's sea otters to prevent urchin kelp forest overgrazing","Meyer Memorial Trust","Conservation and restoration","","","Elakha Alliance","2020","Philanthropic","Non-profit","https://www.opb.org/news/article/oregon-coast-wild-sea-otters-reintroduction-feasibility-study-federal-grant/",""
"164",108,"$100,000","This project will address current barriers in the oyster and seaweed mariculture industry in Alaska through the develoment of educational materials and engaging Alaskans in the first ever Oyster and Seaweed Festival.","Alaska Sea Grant","Capacity building / outreach","Alaska Sea Grant","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"174",109,"$94,047","In this project we aim to identify potential variety of edible sea weeds within NI which have nutritional configuration similar to prawns through reverse engineering methods and then constructing taste, texture and compatibility similar to prawns found in the oceans around UK.","Innovate UK","New foods","","Born Maverick","","2020","Government","Private sector","https://gtr.ukri.org/projects?ref=84835#/tabOverview",""
"184",110,"$91,667","The use of macroalgae to expand aquaculture and prevent, control, and mitigate harmful algal blooms in new york’s coastal zones","New York Sea Grant","Bioremediation","Stony Brook University","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"194",111,"$79,998","Vegetative propagation of pyropia to advance the west coast nori industry","California Sea Grant","Cultivation techniques","Bodega Marine Laboratory @ UC Davis","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"204",112,"$78,308","Objective 1: Examine effect of post-harvest storage temperature on seaweed microbial pathogen load. Objective 2: Investigate effects of post-harvest drying processes on seaweed microbial pathogen load. Objective 3: Develop data-driven and industry-informed guidelines for safe post-harvest handling and processing","Maine Sea Grant","Processing / Biorefinery","University of New England","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"214",113,"$63,940","To prove the environmental, economic, and community benefits of off-shore kelp farming to help them scale.","Devon Environment Foundation","Environmental impact study","University of Exeter","Biome Algae Ltd.","University of Plymouth, Vivobarefoot","2020","Philanthropic","Private-public consortium","",""
"224",114,"$59,101","Laminaria farlowii, a new species for sustainable aquaculture in california: nursery methods, climate change resilience and preliminary market assessment with outreach through the california seaweed fair","California Sea Grant","Cultivation techniques","California State University Monterey Bay","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"234",115,"$55,359","Land-based echinoculture in california: developing a recirculating aquaculture system (ras) and protocol for the enhancement of purple urchin roe","California Sea Grant","Conservation and restoration","San Diego State University","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"118",116,"$45,000","California's kelp forests are experiencing unprecedented perturbations due to direct impacts and climate change. Reef Check trains citizen scientists in scuba surveys to improve marine management by providing critically needed data on reef ecosystems and to inform science-based management of California's MPA network. We are using what we have learned from surveys to implement kelp forest restoration in Northern California. Together, we hope, this will lead to healthier kelp forest ecosystems.","Marisla Foundation","Conservation and restoration","","Reef Check","","2020","Philanthropic","Non-profit","",""
"28",117,"$40,000","To bring back Oregon's sea otters to prevent urchin kelp forest overgrazing","National Fish and Wildlife Foundation (NFWF)","Conservation and restoration","","","Elakha Alliance","2020","Government","Non-profit","https://www.opb.org/news/article/oregon-coast-wild-sea-otters-reintroduction-feasibility-study-federal-grant/",""
"35",118,"$39,912","Seaweed aquaculture: optimizing growth rate, photosynthetic efficiency and bromoform concentration in asparagopsis taxiformis, a climate change fighting algae","California Sea Grant","Strain improvement / new species","Scripps Institution of Oceanography @ University of California San Diego","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"45",119,"$15,000","For the past 3 years, we've been working on creating a coastal MPA on central Chile that seeks to establish long-term conservation goals that integrate artisanal seaweed communities, protect surf breaks and biodiversity. to reach this goals, we plan to create a management plan-which considers activities of research, science and local outreach- to insure through participatory workshops a common vision can be reached, with defined threats and opportunities to generate an agreement for the use of t","Marisla Foundation","Conservation and restoration","","","Fundacion Rompientes","2020","Philanthropic","Non-profit","",""
"55",120,"$9,999","Alaska Sea Grant researchers studied bull kelp to understand reproductive life history pathways, adding to the understanding about this ecologically and socially important species","Alaska Sea Grant","Ecology / Plant biology","University of Alaska Fairbanks","","","2020","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"65",121,"$9,358,759","AquaVitae - the development of new low trophic species in aquaculture value chains, including macroalgae, Integrated Multi-Trophic Aquaculture (IMTA), shellfish, echinoderms and finfish","Horizon2020","Strain improvement / new species","Sustainable Aquaculture Lab at Embrapa Tropical Agroindustry","Ocean Rainforest
France Haliotis","","2019","Government","Private-public consortium","https://cordis.europa.eu/project/id/818173",""
"75",122,"$8,000,000","Methane reduction through feeding seaweed to livestock","Shelby Cullom Davis Charitable Fund","Livestock methane reduction","School of Marine Science and Ocean Engineering @ University of New Hampshire","","Wolfe’s Neck Center","2019","Philanthropic","Non-profit
Univ / Research institute","https://www.unh.edu/unhtoday/2020/03/green-plate-special","https://www.bigelow.org/news/articles/2021-07-26.html"
"85",123,"$4,103,955","Build-out of a National Algae Research Centre","Provincial Growth Fund","Livestock methane reduction
Cultivation techniques","Cawthron National Algae Research Centre","","","2019","Government","Univ / Research institute","https://www.cawthron.org.nz/our-news/prime-minister-opens-national-algae-research-centre",""
"95",124,"$3,741,198","The Norwegian Seaweed Biorefinery Platform (SBP-N)","Norwegian Research Council","Processing / Biorefinery","","Norwegian Seaweed Biorefinery Platform","","2019","Government","Private-public consortium","https://prosjektbanken.forskningsradet.no/en/project/FORISS/210295",""
"105",125,"$3,610,296","Developing first large-scale organic seaweed fermentation process for use in food and nutraceuticals","Norwegian Research Council","Aquaculture infrastructure & tech","","Seaweed Solutions","","2019","Government","Private sector","https://prosjektbanken.forskningsradet.no/en/explore/statistics?Kilde=FORISS&distribution=Ar&chart=bar&calcType=funding&Sprak=no&sortBy=date&sortOrder=desc&resultCount=30&offset=0&Organisasjon.3=SEAWEED+SOLUTIONS+AS",""
"119",126,"$2,500,000","Funds to invest in enabling the seaweed industry","Grantham Foundation For The Protection Of The Environment","Capacity building / outreach","","World Wildlife Fund (WWF)","","2019","Philanthropic","Non-profit","",""
"125",127,"$2,337,417","The RaNTrans project will be the first to develop and test innovative and cost-effective methods that will rapidly reduce algal mat coverage and contribute to reductions in nutrient levels. Using two sites per country we will develop algal mat removal and nutrient reduction techniques specific for intertidal mudflats. These include i) mechanical removal of algal mats; ii) feeding algal mats to polychaete worms and converting these to aquaculture feed; establishing and optimising iii) seaweed cul","Interreg","Bioremediation","CEVA - Centre des Etudes et de Valorisation des Algues","","Université de Caen Normandie, Bournemouth University University of Portsmouth Argans France Natural England Sustainable Feeds Ltd","2019","Government","Private-public consortium","https://keep.eu/projects/22361/Rapid-reduction-of-Nutrient-EN/",""
"135",128,"$2,119,176","The objective of the project is to increase economic opportunities in the seaweed industry by developing innovative working practices that can be widely adopted by the many SMEs involved in this project in the NPA region to develop quality seaweed products of consistent standard that are identifiable and can be clearly branded.","Interreg","Capacity building / outreach","Ryan Institute at NUI Galway","TARI","Lews Castle College UHI, Institutionen för skogens biomaterial och teknologi (SBT) Swedens Lantbruksuniversitet, Údarás na Gaeltachta","2019","Government","Private-public consortium","https://keep.eu/projects/23420/Innovations-for-Seaweed-Pro-EN/",""
"145",129,"$2,025,531","AFRIMED is an european project on the restoration of the degraded macroalgal forest (Cystoseira)","European Maritime and Fisheries Fund","Conservation and restoration","Polytechnic University of Marche (UNIVPM)
Stazione Zoologica Anton Dohrn (SZN)","","","2019","Government","Univ / Research institute","http://ecoseas.unice.fr/index.php/research/en-cours/165-afrimed-algal-forest-restoration-in-mediterranean-sea",""
"155",130,"$1,999,318","Wind en Wier - to develop a large-scale and automated seaweed cultivation system that is reliable at sea and that can be used within the many wind farms in the North Sea","Interreg","Aquaculture infrastructure & tech","BlueGent","AtSeaNova NV
North Sea Farmers","Murre Technologies B.V., HZ University of Applied Sciences, Geo.Xyz","2019","Government","Private-public consortium","https://www.grensregio.eu/projecten/wier-wind",""
"165",131,"$1,942,643","SeaBest - Launching first large-scale organic seaweed-to-food cultivation and processing in EU","Horizon2020","Aquaculture infrastructure & tech
Processing / Biorefinery","","Seaweed Solutions","","2019","Government","Private sector","https://cordis.europa.eu/project/id/849793/",""
"175",132,"$1,815,696","the researchers will develop a feed supplement for cows consisting of seaweed from Nordic waters, which can inhibit the formation of methane gas in the cows' stomachs.","Innovation Fund Denmark","Livestock methane reduction","DTU Aqua
Aarhus University
University of Waikato Macroalgae Research Facility","Ocean Rainforest
Danish Seaweed / Dansk Tang","Vilofoss, DLG","2019","Government","Private-public consortium","https://www.teknologisk.dk/ydelser/tang-i-foderet-skal-reducere-drivhusgasser-fra-malkekoeer/41135?cms.query=climate+fe",""
"185",133,"$1,206,129","Various grants for the development of seaweed-based bioplastics","Innovate UK","Bioplastics","","Notpla","","2019","Government","Private sector","https://gtr.ukri.org/organisation/DA61A7ED-3926-4501-A053-28F380798850",""
"195",134,"$1,193,233","Teleconnected SARgassum risks across the Atlantic: building capacity for TRansformational Adaptation in the Caribbean and West Africa (SARTRAC)","Economic and Social Research Council","Capacity building / outreach
Socio-economic impact study","University of Southampton","","","2019","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=ES%2FT002964%2F1",""
"205",135,"$1,104,858","BIOGEARS - biobased ropes for offshore aquaculture","European Maritime and Fisheries Fund","Aquaculture infrastructure & tech","","","Intrigo","2019","Government","Private sector","https://cordis.europa.eu/article/id/413319-new-emff-project-biogears-launched-to-develop-biobased-ropes-for-aquaculture",""
"215",136,"$1,022,757","The objectives of Algae-UK will be to support translational research into key areas that are likely to advance the algal biotechnology sector. Namely: i) genetic improvement and domestication of key algal species; ii) development of advanced platform strains through applications of synthetic biology; iii) exploitation of algal metabolic diversity; iv) advancing engineering solutions to efficient cultivation and downstream processing; v) understanding the opportunities and barriers to commercial","Biotechnology and Biological Sciences Research Council (BBSRC)","Strain improvement / new species
Cultivation techniques","University College London","","","2019","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=BB%2FS009825%2F1",""
"225",137,"$866,424","Diverseafood: Evaluating the potential of multi-trophic aquaculture to improve nutrition and ecosystem sustainability in the UK","Biotechnology and Biological Sciences Research Council (BBSRC)","IMTA","Scottish Association for Marine Science (SAMS)","","University of Greenwich","2019","Government","Univ / Research institute","https://gtr.ukri.org/search/project?term=diverseafood&fetchSize=25&selectedSortableField=pro.am&selectedSortOrder=DESC&fields=acp.d%2Cis.t%2Cprod.t%2Cpol.oid%2Cacp.oid%2Crtp.t%2Cpol.in%2Cprod.i%2Cper.pro.abs%2Cacp.i%2Ccol.org%2Cacp.t%2Cis.d%2Cis.oid%2Ccpro.rtpc%2Cprod.d%2Cstp.oid%2Crtp.i%2Crdm.oid%2Crtp.d%2Ccol.dept%2Cff.d%2Cff.c%2Ccol.pc%2Cpub.t%2Ckf.d%2Cdis.t%2Ccol.oid%2Cpro.t%2Cper.sn%2Corg.orcidId%2Cper.on%2Cff.dept%2Crdm.t%2Corg.n%2Cdis.d%2Cprod.oid%2Cso.cn%2Cdis.i%2Cpro.a%2Cpub.orcidId%2Cpol.gt%2Crdm.i%2Crdm.d%2Cso.oid%2Cper.fnsn%2Cper.org.n%2Cper.pro.t%2Cpro.orcidId%2Cpub.a%2Ccol.d%2Cper.orcidId%2Ccol.c%2Cip.i%2Cpro.gr%2Cpol.i%2Cso.t%2Cper.fn%2Ccol.i%2Cip.t%2Cff.oid%2Cstp.i%2Cso.i%2Ccpro.rcpgm%2Ccpro.hlt%2Ccol.pic%2Cso.d%2Cff.t%2Cip.d%2Cdis.oid%2Cip.oid%2Cstp.d%2Crtp.oid%2Cff.org%2Ckf.oid%2Cstp.t&type=",""
"235",138,"$845,767","This project aims to develop a novel hydrothermal processing technique that can utilise and convert this bountiful resource into a next generation agricultural fertiliser product.","Engineering and Physical Sciences Research Council (EPSRC)","Biostimulant
Sargassum / other algal blooms","University of Exeter","","","2019","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=EP%2FT015268%2F1",""
"120",139,"$736,955","Nurturing the successful growth and maturation of a domestic seaweed aquaculture industry: identifying and removing barriers and promoting opportunities","Connecticut Sea Grant","Capacity building / outreach","Connecticut Sea Grant
Maine Sea Grant
Alaska Sea Grant","Seaweed Hub","","2019","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"29",140,"$698,825","the investigators will test the overall hypothesis that ocean acidification and ocean warming will play a significant role in structuring crustacean assemblages associated with seaweeds.","National Science Foundation (NSF)","Ecology / Plant biology","University of Alabama","","","2019","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1848887",""
"36",141,"$683,880","Cultivating resilient marine forests to rebuild productive coastal ecosystems","Endeavour Fund","Conservation and restoration","University of Otago","","","2019","Government","Univ / Research institute","https://www.mbie.govt.nz/science-and-technology/science-and-innovation/funding-information-and-opportunities/investment-funds/endeavour-fund/success-stories/past-rounds/success-stories-2/",""
"46",142,"$683,880","Carbon Sequestration and Mussel Productivity in Integrated Multi-Trophic Aquaculture","Endeavour Fund","IMTA","","BlueCarbon","","2019","Government","Univ / Research institute","https://www.mbie.govt.nz/science-and-technology/science-and-innovation/funding-information-and-opportunities/investment-funds/endeavour-fund/success-stories/past-rounds/success-stories-2/",""
"56",143,"$593,987","Value-Chain Innovation towards a Sustainable & Competitive Norwegian Seaweed Industry. SeaVALUE will drive sustainable value creation in Norway towards disruption of the traditional seaweed value-chain upon socially responsible industrial research and innovation on eco-harvesting, value-added on-board sorting and formalin-free preservation strategies, and full biomass valorisation into integrated multi sectoral product concepts targeting high-value markets, e.g. functional food ingredients, anim","Norwegian Research Council","Applications research
Processing / Biorefinery","Nofima
Norwegian Institute of Marine Research (IMR)","Marine Biopolymers Ltd","Dolmøy House of Seafood","2019","Government","Private sector
Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/296697",""
"66",144,"$473,754","the project focuses on design and development of a fully compostable (6 weeks), heat-resistant (up to 240oc), microwavable and freezable food tray with unique biopolymer coating using seaweed algae and corn starch to provide up to 21 days atmospheric protection for ready-meal and ambient raw meat/fish market.","Innovate UK","Bioplastics","","Biopaxium","","2019","Government","Private sector","https://gtr.ukri.org/projects?ref=105242",""
"76",145,"$427,817","Restore kelp forests with Marine Permaculture to help reverse the effects of global warming.","The Intrepid Foundation","Conservation and restoration
Capacity building / outreach","","Climate Foundation","","2019","Philanthropic","Non-profit","https://www.theintrepidfoundation.org/t/seaweed-regeneration",""
"86",146,"$411,033","Agro-energy valorization of Sargassum - SAVE","ANR - National Research Agency France","Energy
Sargassum / other algal blooms","INRA Centre Val de Loire","","ENSAIA Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires, LAE Laboratoire Agronomie Environnement, SOMARA Societe Maritime De Remorquage Et D'assistance","2019","Government","Private-public consortium","https://anr.fr/Projet-ANR-19-SARG-0009",""
"96",147,"$407,327","Unlocking the Brown Macroalgal Cell Wall: From Renewable UK Resource to Value-Added Chemicals and Pharmaceuticals","Biotechnology and Biological Sciences Research Council (BBSRC)","Processing / Biorefinery
Applications research","University College London","","","2019","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=BB%2FS010610%2F1",""
"106",148,"$352,219","Joint research laboratory for the evaluation of the potential of algae in anti-infectious health in production animals - ALGAHEALTH","ANR - National Research Agency France","Feed","INRA Centre Val de Loire","","","2019","Government","Univ / Research institute","https://anr.fr/Projet-ANR-18-LCV3-0006",""
"1110",149,"$352,098","Algae extracts in integrated plant defense and biostimulation - SEASIDES","ANR - National Research Agency France","Biostimulant","","Algaia","Glycomev Glycobiologie Et Matrice Extracellulaire Vegetale","2019","Government","Private-public consortium","https://anr.fr/Projet-ANR-18-LCV3-0010",""
"126",150,"$311,138","Effects on human health of chronic exposure to gaseous fumes from decomposing Sargassum brown algae in the French Antilles - SARGACARE","ANR - National Research Agency France","Sargassum / other algal blooms","","","LIM05 - HCFMUSP Laboratory of Environmental Air Pollution, OSM Observatoire de la santé de la martinique, CHUM CHU Martinique, CHUG CHU Guadeloupe, VIMA Aging and chronic diseases. Epidemiological and public health approaches, VPMC Vulnérabilité cardiovasculaire, pathologies métaboliques et endocriennes,","2019","Government","Private-public consortium","https://anr.fr/Projet-ANR-19-SARG-0001",""
"136",151,"$271,209","This project aims to investigate how bacteria can improve the growth, health and environmental adaptation of marine seaweeds (macroalgae).","Australian Research Council","Ecology / Plant biology","University of NSW","","","2019","Government","Univ / Research institute","https://researchdata.edu.au/discovery-projects-grant-id-dp190100711/1378268/",""
"146",152,"$263,850","Atmospheric and marine corrosion. Impact of chemical compounds resulting from the decomposition of Sargassum and role of microorganisms on the corrosion of metallic materials. Phenomenological and legal considerations - CORSAiR","ANR - National Research Agency France","Legal/Policy
Sargassum / other algal blooms","University of the West Indies
Université de Bretagne Occidentale (UBO)","","Association Agréée de Surveillance de la Qualité de l'Air en Martinique ""MADININAIR"", ECO MOBIL, UA-L3MA Université des Antilles (UA), Laboratoire des Matériaux et Molécules en Milieu Agressif (L3MA), IC INSTITUT DE LA CORROSION, Université PARIS SACLAY Institut d'Etudes de Droit Public (IEDP), Université de Bretagne Sud (UBS)","2019","Government","Univ / Research institute","https://anr.fr/Projet-ANR-19-SARG-0006",""
"156",153,"$263,603","Integral approach to the valorization of Sargassum - SARGOOD","ANR - National Research Agency France","Sargassum / other algal blooms
Applications research","University of Sao Paolo
University of the West Indies","","Covachim-m2e Connaissance Et Valorisation, Lca Laboratoire Chimie Agro-industrielle, Rusvm Ross University School Of Veterinary Medicine, 100%zeb, Smart-island","2019","Government","Private-public consortium","https://anr.fr/Projet-ANR-19-SARG-0002",""
"166",154,"$250,000","to support Greener Grazing: Achieving a Breakthrough Asparagopsis Seaweed Cultivation to Support Climate Smart Beef and Dairy Production","Builders Initiative","Livestock methane reduction","","Greener Grazing","","2019","Philanthropic","Private sector","",""
"176",155,"$250,000","Greener Grazing: Scaling Red Seaweed Aquaculture to Reduce Enteric Methane Emissions","Walton Family Foundation","Livestock methane reduction","","Greener Grazing","","2019","Philanthropic","Private sector","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=seaweed&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"186",156,"$236,358","NorKHelp - Using population genomics and metabarcoding to pro-actively manage kelp bioresources","Horizon2020","Genetics / Biochemistry
Ecology / Plant biology","Norwegian Institute of Marine Research (IMR)","","","2019","Government","Univ / Research institute","https://cordis.europa.eu/project/id/844643",""
"196",157,"$225,000","Sailors for the Sea's new Green Boating Initiative connects boaters and sailors with the resources, network, and grassroots community necessary to both advance Oceana's policy campaigns and practice individual ocean-friendly habits. This initiative will be supported by efforts to expand and grow our Clean Regatta and KELP programs, which collectively provide outreach and education initiatives to the boating and sailing community.","Marisla Foundation","Conservation and restoration","","Oceana","","2019","Philanthropic","Non-profit","",""
"206",158,"$216,560","To develop novel animal feeds by adding edible UK seaweeds to improve their nutritional status, health and value. To reduce reliance on imported ingredients and produce novel bespoke feeds with specific end-uses.","Innovate UK","Feed","The James Hutton Institute","","","2019","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=511534#/tabOverview",""
"216",159,"$212,977","Developing policy consensus to facilitate state regulation of seaweed as food product","National Sea Grant Law Center","Legal/Policy","","","University of Mississippi School of Law","2019","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"226",160,"$200,000","To restore California's kelp forests","Bently Foundation","Conservation and restoration","","The Nature Conservancy","","2019","Philanthropic","Non-profit","https://bentlyfoundation.org/grants/the-nature-conservancy-1",""
"236",161,"$188,000","global modeling on farmed seaweed as a climate solution","Grantham Foundation For The Protection Of The Environment","CDR","Marine Science Institute @ UC Santa Barbara","","","2019","Philanthropic","Univ / Research institute","",""
