"","rowname","resHeaders","Headquarters","Value.chain","Website","Species","Production.process","Industry..Applications.","Industry.subsector.tags","Investors","Association.focus","Founding year","Annual production (wet weight)","Start-up/scale-up?","Investments","Total disclosed investments since 2020","Development stage","Grants associated","Researchers associated","Team","SEO:Slug","SEO:Index"
"267",267,"Eldey Aqua","Iceland","Farming & harvesting","http://www.kelp.is/","Saccharina latissima","IMTA
Aquaculture","","","","","2019","0 - not started yet","","","$0","","","","","eldey-aqua","true"
"268",268,"Emerald Isle Seaweed","Ireland","Farming & harvesting","https://emeraldisleseaweed.com/","Fucus vesiculosus
Himanthalia elongata
Laminaria digitata
Palmaria palmata","Harvesting","","","","","","","","","$0","","","","","emerald-isle-seaweed","true"
"269",269,"Emerald Seaweed Indonesia","Indonesia","Applications","https://www.indonesiaseaweed.com/company/emerald-seaweed-indonesia/","","","Hydrocolloids","Agar","","","","","","","$0","","","","","emerald-seaweed-indonesia","true"
"270",270,"Emerald Tutu","USA","Infrastructure & equipment","https://emerald-tutu.com/","","","","Coastal defense","","","2018","","","","$0","Research / product development","$255,999","","Mixed founding team","emerald-tutu","true"
"271",271,"Energy Algae","Israel","Farming & harvesting","https://www.energy-algae.com/","Sargassum sp.","Harvesting","Energy
HABs","Biogas","","","2019","0 - not started yet","","","$0","Pilot / Demonstration","","","Male CEO
Male founded","energy-algae","true"
"272",272,"Energy Helios Farms","France","Infrastructure & equipment","","","","","","","","","","","","$0","","","","","energy-helios-farms","true"
"273",273,"Environmental Defense Fund","USA","Conservation & restoration","https://www.edf.org/","","","","","","","","","","","$0","","","","","environmental-defense-fund","true"
"274",274,"Envirostrat","New Zealand","Consulting","https://envirostrat.co.nz/","","","","","","","","","","","$0","","","","","envirostrat","true"
"275",275,"Enzalg","New Zealand","Applications","http://enzalg.co.nz/","","","Food
Nutraceuticals","Fucoidans","","","","","","","$0","","","","","enzalg","true"
"276",276,"Equa","Canada","Farming & harvesting","https://www.equa.ca/","Saccharina latissima
Nereocystis luetkeana
Alaria marginata","Aquaculture","","","","","","","","","$0","","","","","equa","true"
"277",277,"Equigel","Senegal","Farming & harvesting","https://equigelgroupesenegal.wordpress.com/","Hypnea musciformis
Meristotheca senegalensis
Gracilaria sp.
Ulva fasciata","Aquaculture
Harvesting","","","","","2013","10 - 100 tonnes","","","$0","","","","","equigel","true"
"278",278,"Equil","USA","Farming & harvesting","https://www.equil.earth/","Gracilaria sp.","Aquaculture
Land-based","","","","","2022","0 - not started yet","","","$0","Research / product development","","","","equil","true"
"279",279,"Eranova","France","Farming & harvesting
Applications","https://eranovabioplastics.com/","Ulva rigida","Aquaculture
Harvesting","Bioplastics
HABs","","Total Développement Régional
Symphony Environmental","","2016","0 - not started yet","","$7,100,000","$7,100,000","Pilot / Demonstration","","","Male CEO
Male founded","eranova","true"
"280",280,"EstAgar","Estonia","Farming & harvesting
Applications","http://estagar.ee/","Furcellaria lumbricalis","Harvesting","Hydrocolloids","Carrageenan","","","1989","100 - 1000 tonnes","","","$0","","","","","estagar","true"
"281",281,"Eukaryo","Norway","Breeding & propagation","http://eukaryo.no/english/","","","","","","","","","","","$0","","","","","eukaryo","true"
"282",282,"Eurogum","Denmark","Applications","https://eurogum.bangbonsomer.com/","","","Hydrocolloids","Carrageenan
Alginate","","","","","","","$0","","","","","eurogum","true"
"283",283,"European Algae Biomass Association (EABA)","Italy","Multi-stakeholder platform","https://www.eaba-association.org/","","","","","","Producers association","","","","","$0","","","","","european-algae-biomass-association-eaba","true"
"284",284,"European Aquaculture Technology Innovation Platform","Belgium","Multi-stakeholder platform","http://eatip.eu/","","","","","","Growing the industry","","","","","$0","","","","","european-aquaculture-technology-innovation-platform","true"
"285",285,"Evoware","Indonesia","Applications","https://rethink-plastic.com/","","","Bioplastics","","","","2016","","","","$0","Validation / Traction","","","Male CEO
Male founded","evoware","true"
"286",286,"Eyre Shellfish","Australia","Breeding & propagation","http://eyreshellfish.com.au/","Asparagopsis taxiformis","","","","","","","","","","$0","","","","","eyre-shellfish","true"
"287",287,"Falcon International","Bangladesh","Farming & harvesting","https://www.linkedin.com/in/omar-hasan-905a42120","","Aquaculture","","","","","2008","","","","$0","","","","","falcon-international","true"
"288",288,"Falconi Mare ApS","Denmark","Consulting
Distribution","https://www.falconi-mare.dk/","","","","","","","","","","","$0","","","","","falconi-mare-aps","true"
"289",289,"Fearless Fund","USA","Infrastructure & equipment
Farming & harvesting","https://www.fearlessfund.org/","Ulva sp.
Sargassum sp.
Ulva lactuca
Gracilaria sp.
Fucus sp.","Harvesting
Aquaculture","Carbon sequestration
Energy
HABs","Fucoidans
Alginate
Agar","Angel investors (various)
ARPA-E","","2017","0 - 10 tonnes","","","$0","Pilot / Demonstration","$2,206,703","","","fearless-fund","true"
"290",290,"Félagsbúið Miðhraun","Iceland","Applications
Farming & harvesting","https://fbmidhraun.is/","","Harvesting","","","","","","1000 - 10 000 tonnes","","","$0","","","","","félagsbúið-miðhraun","true"
"291",291,"Fermbiotics","Denmark","Applications","https://fermbiotics.com/","","","Nutraceuticals
Feed","Pet food","Plug and Play","","2017","","","","$0","Validation / Traction","","","Male CEO
Male founded","fermbiotics","true"
"292",292,"Fermentation Experts","Denmark","Applications","https://fermentationexperts.com/","","","Feed","","","","","","","","$0","","","","","fermentation-experts","true"
"293",293,"Ficosterra","Spain","Applications","https://www.ficosterra.com/en/","Macrocystis pyrifera
Laminaria sp.","","Plant & soil nutrition","","Blue Bio Value","","2016","","","","$0","Validation / Traction","","","Male CEO
Male founded","ficosterra","true"
"294",294,"FlexSea","UK","Applications","https://flex-sea.com/","","","Bioplastics","","Blue Bio Value
MassChallenge
The Greenhouse","","2020","","","Unnamed record","$0","Research / product development","","","Male CEO
Male founded","flexsea","true"
"295",295,"FMC","USA","Applications","http://www.fmc.com/","","","Hydrocolloids","Alginate
Carrageenan","","","","","","","$0","","","","","fmc","true"
"296",296,"Folla Alger AS","Norway","Farming & harvesting","https://algenett.no/Deltakere/?Article=3","Saccharina latissima","Aquaculture
IMTA","","","","","2017","","","","$0","","","","","folla-alger-as","true"
"297",297,"Foodmate","China","Applications","https://www.foodmategroup.com/","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","foodmate","true"
"298",298,"Foraged & Found","USA","Farming & harvesting
Applications","https://www.foragednfound.com/","","Harvesting","Food","Snacks and seasoning","Alaska Ocean Cluster","","","0 - 10 tonnes","","","$0","","","","","foraged--found","true"
"299",299,"Forever Oceans","USA","Farming & harvesting","https://www.foreveroceans.com/","","Aquaculture
IMTA","","","","","","","","","$0","","","","","forever-oceans","true"
"300",300,"France Haliotis","France","Farming & harvesting","https://www.francehaliotis.com/","","Harvesting
Aquaculture","Food","","","","","100 - 1000 tonnes","","","$0","","$7,036,025
$9,358,759","","","france-haliotis","true"
"301",301,"Fremantle Seaweed","Australia","Farming & harvesting","https://fremantleseaweed.com/","Asparagopsis sp.","Aquaculture","","","","","2020","0 - not started yet","","","$0","","","","","fremantle-seaweed","true"
"302",302,"Fucales DA","Norway","Farming & harvesting","","Ascophyllum nodosum","Harvesting","","","","","","0 - not started yet","","","$0","","","","","fucales-da","true"
"303",303,"Fujian Global Ocean Biotechnology Co.,Ltd","China","Applications","http://www.globalocean-agar.com/","","","Hydrocolloids","Agar
Carrageenan","","","2010","","","","$0","","","","","fujian-global-ocean-biotechnology-coltd","true"
"304",304,"Fujian Gold Swallow Ocean Biotech","China","Farming & harvesting
Applications","http://www.jinyan1958.com/","","","Hydrocolloids","Carrageenan
Agar","","","2010","1000 - 10 000 tonnes","","","$0","","","","","fujian-gold-swallow-ocean-biotech","true"
"305",305,"Fujian Shenshilan Foods","China","Farming & harvesting
Applications","http://www.jzslchina.com/","Porphyra yezoensis","","Food","Dried/raw seaweed","","","2004","1000 - 10 000 tonnes","","","$0","","","","","fujian-shenshilan-foods","true"
"306",306,"Fujian Yiyuan Marine Food Co., Ltd.","China","Farming & harvesting
Applications","http://www.xiapuhaidai.com/","Porphyra yezoensis
Saccharina latissima","","Food","Dried/raw seaweed","","","2002","","","","$0","","","","","fujian-yiyuan-marine-food-co-ltd","true"
"307",307,"Fujicco","Japan","Applications","https://www.fujicco.co.jp/english/","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","fujicco","true"
"308",308,"Fujikuni Bussan Co.","Japan","Applications","http://www.fujikunibussan.com/","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","fujikuni-bussan-co-","true"
"309",309,"Fukui Co.","Japan","Applications","https://nori-fukui.co.jp/","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","fukui-co","true"
"310",310,"Fukuoka Ariake Sea Fisheries Cooperative Association","Japan","Farming & harvesting
Applications","https://fukuoka-ariake.com/","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","fukuoka-ariake-sea-fisheries-cooperative-association","true"
"311",311,"Fundacion Valve","Peru","Research
Multi-stakeholder platform","https://fundacionvalve.org/","","","","","","Scientific association","","","","","$0","","","","","fundacion-valve","true"
"312",312,"Furcella Oü (Berrichi)","Estonia","Applications","https://berrichi.eu/","","","Personal care","","","","","","","","$0","","","","","furcella-oü-berrichi","true"
"313",313,"Futuralga","Spain","Applications
Farming & harvesting","https://www.futuralga.com/","","Harvesting","Bioplastics","","Blue Bio Value
ProtoAtlantic","","2018","0 - not started yet","","","$0","Research / product development","","","Mixed founding team","futuralga","true"
"314",314,"FutureFeed","Australia","Applications","https://research.csiro.au/futurefeed/","Asparagopsis sp.","","Feed","Livestock methane reduction","Woolworths
GrainCorp
Harvest Road","","2019","","","$9,340,000","$9,340,000","Validation / Traction","$1,000,000
$1,000,000
$2,881,578","","Male CEO","futurefeed","true"
"315",315,"Galic Artabahari","Indonesia","Applications","https://www.ptgab.com/","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","galic-artabahari","true"
"316",316,"Galic Bina Mada","Indonesia","Applications","http://galicbinamada.com/","","","Hydrocolloids","Alginate
Carrageenan","","","","","","","$0","","","","","galic-bina-mada","true"
"317",317,"Galuriña","Spain","Applications","https://galurina.com/","","","Food","","","","","","","","$0","","","","","galuriña","true"
"318",318,"Gamro Seafood Association","South Korea","Applications","https://www.jobkorea.co.kr/company/45277023","","","Food","Snacks and seasoning
Dried/raw seaweed","","","","","","","$0","","","","","gamro-seafood-association","true"
"319",319,"GaoLv Seaweed Group Co","China","Farming & harvesting
Applications","","","","Food","","","","1999","","","","$0","","","","","gaolv-seaweed-group-co","true"
"320",320,"Geltech Hayco Inc.","Philippines","Applications","https://www.gmdu.net/corp-776743.html","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","geltech-hayco-inc","true"
"321",321,"Gelymar","Chile","Farming & harvesting
Applications","https://www.gelymar.com/","Sarcothalia crispata
Sarcopeltis skottsbergii
Mazzaella laminarioides
Chondracanthus chamissoi","Harvesting","Hydrocolloids","Carrageenan","","","","100 000 - 1 000 000 tonnes","","","$0","","","","","gelymar","true"
"322",322,"Genu Philippines","Philippines","Applications","","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","genu-philippines","true"
"323",323,"Get Inspired","USA","Conservation & restoration","https://getinspiredinc.org/","","","","","","","","","","","$0","","","","","get-inspired","true"
"324",324,"Gijang Mulsan Co","South Korea","Farming & harvesting","","","Aquaculture","","Snacks and seasoning
Dried/raw seaweed","","","","100 - 1000 tonnes","","","$0","","","","","gijang-mulsan-co","true"
"325",325,"Gijang Trading","South Korea","Applications","http://www.gijangmulsan.com/","","","Food","Snacks and seasoning
Dried/raw seaweed","","","","","","","$0","","","","","gijang-trading","true"
"326",326,"Gimme Health Foods","USA","Applications","https://www.gimmesnacks.com/","Porphyra yezoensis","","Food","Snacks and seasoning","","","2012","","","","$0","Scale-up / Industrialisation","","","Mixed founding team","gimme-health-foods","true"
"327",327,"Giwang Citra Laut","Indonesia","Applications","https://www.daftarperusahaan.com/bisnis/giwang-citra-laut-pt","","","Hydrocolloids","Agar","","","","","","","$0","","","","","giwang-citra-laut","true"
"328",328,"Glenelg Sea Forest","UK","Farming & harvesting","","","","","","","","2022","0 - not started yet","","","$0","","","","","glenelg-sea-forest","true"
"329",329,"GlobalSeaweedSTAR","UK","Research
Multi-stakeholder platform","https://www.globalseaweed.org/","","","","","","Research platform","","","","","$0","","","","","globalseaweedstar","true"
"330",330,"GlobeXplore","France","Farming & harvesting","https://www.algues.fr/en/","Himanthalia elongata
Palmaria palmata
Porphyra umbilicalis
Saccharina latissima","Harvesting","Food","","","","1986","100 - 1000 tonnes","","","$0","","","","","globexplore","true"
"331",331,"Glycomar","UK","Research","https://www.glycomar.com/","","","Pharmaceuticals","","","","","","","","$0","","$58,460","","","glycomar","true"
"332",332,"Goa Ventures","Netherlands","Processing / Biorefinery","https://goa-ventures.com/","","","Energy
Food","","","","2016","","","","$0","Pilot / Demonstration","","","Male CEO
Mixed founding team","goa-ventures","true"
"333",333,"Godbawi","South Korea","Applications","http://www.godbawee.com/","","","Food","Snacks and seasoning
Dried/raw seaweed","","","","","","","$0","","","","","godbawi","true"
"334",334,"Goemar","France","Applications","https://www.linkedin.com/company/laboratoires-go-mar/","Ascophyllum nodosum","","Plant & soil nutrition","","","","1971","","","","$0","","","","","goemar","true"
"335",335,"Gopsis","Portugal","Consulting","https://www.ccmar.ualg.pt/en/page/gopsis-lda","","","","","","","","","","","$0","","","","","gopsis","true"
"336",336,"Gracilarias de Panama","Panama","Farming & harvesting","https://gracilarias.org/","Gracilaria sp.
Kappaphycus alvarezii
E. spinosum","Aquaculture","","","","","","","","","$0","","","","","gracilarias-de-panama","true"
"337",337,"Great SeaVegetables","USA","Consulting","https://www.linkedin.com/in/david-e-myslabodski-5791a818/","","","","","","","","","","","$0","","","","","great-seavegetables","true"
"338",338,"Green Angel","Ireland","Applications","https://www.greenangel.com/","","","Personal care","","","","2006","","","","$0","","","","","green-angel","true"
"339",339,"Green Aqua Farm (failed)","Singapore","Farming & harvesting","https://thefishsite.com/articles/grape-expectations-novel-superfood-seaweed-farm-launched-in-singapore","Caulerpa lentillifera","Aquaculture","Food","","","","2020","","","","$0","Failed / Zombie","","","Male CEO
Male founded","green-aqua-farm-failed","true"
"340",340,"Green Gravel Action Group","Australia","Conservation & restoration","https://www.greengravel.org/","","","","","","","","","","","$0","","$200,000","","","green-gravel-action-group","true"
"341",341,"Green Marine Farming","Netherlands","Farming & harvesting","https://greenmarinefarming.com/","","Aquaculture
Land-based","","","","","","","","","$0","","$2,953,130","","","green-marine-farming","true"
"342",342,"Green Ocean Farming","UK","Farming & harvesting","https://www.greenoceanfarming.com/","","Aquaculture","","","","","","0 - 10 tonnes","","","$0","","","","","green-ocean-farming","true"
"343",343,"Greener Grazing","Portugal","Farming & harvesting
Infrastructure & equipment","https://www.greenergrazing.org/","Asparagopsis sp.","Aquaculture
Offshore","Feed","Livestock methane reduction","Australis Aquaculture
Packard Foundation","","2018","0 - 10 tonnes","","","$0","Research / product development","$150,000
$250,000
$250,000","","Male CEO
Male founded","greener-grazing","true"
"344",344,"Greenfresh (Fujian Province Lvqi Food Colloid)","China","Applications
Farming & harvesting","http://greenfreshfood.com/en/","","","Hydrocolloids","Agar
Carrageenan","","","","","","","$0","","","","","greenfresh-fujian-province-lvqi-food-colloid","true"
"345",345,"Greensea Solutions / Tangled Greens","UK","Farming & harvesting
Applications","https://greenseasolutions.co.uk/","Alaria esculenta
Saccharina latissima","Aquaculture","Food
Plant & soil nutrition","","","","2018","0 - 10 tonnes","","","$0","","","","","greensea-solutions-/-tangled-greens","true"
"346",346,"GreenWave","USA","Breeding & propagation
Multi-stakeholder platform","https://www.greenwave.org/team","","","","","","Growing the industry","2014","","","","$0","Scale-up / Industrialisation","$2,000,000","","","greenwave","true"
"347",347,"Grow-Trees","India","Multi-stakeholder platform","https://thefishsite.com/articles/seaweed-farming-initiative-launched-in-india","","","","","","Improving farmers' lives","","","","","$0","","","","","grow-trees","true"
"348",348,"GSI Creos","Japan","Applications","https://kosyohin.gsi.co.jp/ja/material/material-1181166498380903350.html","","","Personal care","","","","","","","","$0","","","","","gsi-creos","true"
"349",349,"Guangdong Hizense Seaweed Biological Technology Co., Ltd","China","Applications
Farming & harvesting","www.agarglue.com","Gracilaria sp.","Aquaculture","Hydrocolloids","Agar","","","1986","","","","$0","","","","","guangdong-hizense-seaweed-biological-technology-co-ltd","true"
"350",350,"Guernsey Seaweed","UK","Farming & harvesting
Applications","https://guernseyseaweed.com","","Harvesting","Personal care
Plant & soil nutrition","","","","","0 - 10 tonnes","","","$0","","","","","guernsey-seaweed","true"
"351",351,"Gyoren Hokko","Japan","Applications","http://www.g-hokko.co.jp/en/index.html","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","gyoren-hokko","true"
"352",352,"Haechon Trading Co","South Korea","Applications","https://www.jobkorea.co.kr/company/43854064","","","Food","Snacks and seasoning
Dried/raw seaweed","","","","","","","$0","","","","","haechon-trading-co","true"
"353",353,"Haeckels","UK","Applications","https://haeckels.co.uk/","","","Personal care","","","","2012","","","","$0","","","","","haeckels","true"
"354",354,"HAEDES","Belgium","Consulting
Research
Infrastructure & equipment","https://www.haedes.eu/","","","","","","","","","","","$0","","","","","haedes","true"
"355",355,"Haejeo Foods","South Korea","Applications","http://dcgim.com/","","","Food","Snacks and seasoning
Dried/raw seaweed","","","","","","","$0","","","","","haejeo-foods","true"
"356",356,"Haenong","South Korea","Applications","http://www.haenong.com/","","","Food","Snacks and seasoning
Dried/raw seaweed","","","","","","","$0","","","","","haenong","true"
"357",357,"Hafkalk ehf.","Iceland","Farming & harvesting
Applications","https://www.hafkalk.com/","Lithothamnium calcareum","Harvesting","Nutraceuticals","","","","2000","","","","$0","","","","","hafkalk-ehf","true"
"358",358,"Hai'an Lanbo","China","Farming & harvesting
Applications","http://www.lbnori.com/","Porphyra yezoensis","","Food","Dried/raw seaweed","","","1992","","","","$0","","","","","haian-lanbo","true"
"359",359,"Haida Foods","China","Farming & harvesting
Applications","http://www.haidafood.com/","Porphyra yezoensis","","Food","","","","","","","","$0","","","","","haida-foods","true"
"360",360,"Hainan Kaiyang Trade Co Ltd","China","Applications","https://hktcl4594.en.china.cn/about.html","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","hainan-kaiyang-trade-co-ltd","true"
"361",361,"Haiyang Hongmao Seaweed Co., Ltd","China","Applications
Farming & harvesting","https://hmseaweed.en.made-in-china.com/","","","Hydrocolloids","Alginate","","","2006","","","","$0","","","","","haiyang-hongmao-seaweed-co-ltd","true"
"362",362,"Haiyang Zhouji Seaweed Co., Ltd","China","Applications
Farming & harvesting","http://www.zhoujichina.com/","","","Plant & soil nutrition
Hydrocolloids","Alginate","","","2005","","","","$0","","","","","haiyang-zhouji-seaweed-co-ltd","true"
"363",363,"Hangzhou Chenfeng Seaweed Co., Ltd","China","Applications","www.hzcfhz.com","","","Hydrocolloids","Alginate","","","2007","","","","$0","","","","","hangzhou-chenfeng-seaweed-co-ltd","true"
"364",364,"Hanmirae Global","South Korea","Applications","","","","Food","Snacks and seasoning
Dried/raw seaweed","","","","","","","$0","","","","","hanmirae-global","true"
"365",365,"Happy Ocean Foods","Germany","Applications","https://www.happyoceanfoods.com/","","","Food","Seafood substitute","Angel investors (various)","","2019","","","$317,000","$317,000","Pilot / Demonstration","","","Male CEO
Male founded","happy-ocean-foods","true"
"366",366,"Havhøst","Denmark","Multi-stakeholder platform","https://www.xn--havhst-eya.dk/","","","","","","Growing the industry","","","","","$0","","","","","havhøst","true"
"367",367,"Hayashikane","Japan","Applications","https://www.hayashikane.co.jp/enjoylearn/functionalmaterial/ascophyllan/","Ascophyllum nodosum","","Pharmaceuticals","","","","","","","","$0","","","","","hayashikane","true"
"368",368,"Healthy Seaweed Co.","Tanzania","Applications","https://medicopress.media/medico-research/two-marine-scientists-on-healthy-seaweed-mission-in-tanzania/","","","Food","","","","","","","","$0","","","","","healthy-seaweed-co","true"
"369",369,"Hebridean Seaweed Company","UK","Farming & harvesting
Applications","http://www.hebrideanseaweed.co.uk/","Ascophyllum nodosum
Fucus vesiculosus","Harvesting","Plant & soil nutrition","","","","","10 - 100 tonnes","","","$0","","","","","hebridean-seaweed-company","true"
"370",370,"Help our Kelp","UK","Conservation & restoration","https://sussexwildlifetrust.org.uk/helpourkelp","","","","","","","","","","","$0","","$107,633","","","help-our-kelp","true"
"371",371,"Heritage Seaweed","USA","Applications","https://www.heritageseaweed.com/","","","Food","Seaweed added to traditional product","","","","","","","$0","","","","","heritage-seaweed","true"
"372",372,"Hethel Innovation Algae Platform","UK","Multi-stakeholder platform","https://hethelinnovation.com/innovation-platform/the-future-is-algae/","","","","","","Growing the industry","","","","","$0","","","","","hethel-innovation-algae-platform","true"
"373",373,"Hidaka Food Industry Co.","Japan","Applications","https://www.hidaka-foods.co.jp/","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","hidaka-food-industry-co","true"
"374",374,"Hirokon Foods Co.","Japan","Applications","https://www.hirokonfoods.co.jp/","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","hirokon-foods-co","true"
"375",375,"Hiroshima Nori","Japan","Applications","https://www.hiroshimanori-eshop.jp/","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","hiroshima-nori","true"
"376",376,"Hispanagar","Spain","Applications","https://www.hispanagar.com/en","","","Hydrocolloids","Agar
Carrageenan","","","","","","","$0","","","","","hispanagar","true"
"377",377,"Hjarnø Fish Farm","Denmark","Farming & harvesting","http://www.havbrug.dk/en/","","Aquaculture
IMTA
Offshore","","","","","","","","","$0","","","","","hjarnø-fish-farm","true"
"378",378,"Hokkaido Federation of Fisheries","Japan","Farming & harvesting
Applications","https://www.gyoren.or.jp/konbu/index.html","","","Food","Dried/raw seaweed","","","","","","","$0","","","","","hokkaido-federation-of-fisheries","true"
"379",379,"Hokkaido Marine","Japan","Processing / Biorefinery
Consulting
Monitoring tech","http://hokkaido-marine.com/","","","Pharmaceuticals","","","","","","","","$0","","","","","hokkaido-marine","true"
"380",380,"Holdex Environnement","Martinique","Applications","","Sargassum sp.","","HABs
Plant & soil nutrition","","","","","","","","$0","","","","","holdex-environnement","true"
"381",381,"Holdfast Aquaculture","USA","Breeding & propagation","https://www.holdfastaq.com/","","","","","","","","","","","$0","","","","","holdfast-aquaculture","true"
"382",382,"Homey Group International","China","Applications
Farming & harvesting","http://homeygroup.com/","","Aquaculture
IMTA","Food","","","","1978","","","","$0","","","","","homey-group-international","true"
"383",383,"Honpo","Japan","Conservation & restoration
Applications","https://seaweed.co.jp/pages/31/","","","Food","","","","","","","","$0","","","","","honpo","true"
"384",384,"Hortimare","Netherlands","Breeding & propagation
Consulting","https://www.hortimare.com/","Alaria esculenta
Palmaria palmata
Saccharina latissima","Aquaculture","","","","","2008","","","","$0","Scale-up / Industrialisation","$4,859,731
$3,858,220
$2,642,715","","Male CEO
Male founded","hortimare","true"
"385",385,"HQ Seaweed (Capitan Alga)","Spain","Farming & harvesting
Applications","https://www.hqseaweed.com/en/","Codium sp.
Ulva sp.
Undaria sp.","Harvesting
Aquaculture","Food","","","","2016","100 - 1000 tonnes","","","$0","Validation / Traction","","","","hq-seaweed-capitan-alga","true"
"386",386,"Hump Island Oyster Company","USA","Farming & harvesting","https://www.humpislandoyster.com/","Nereocystis luetkeana","Aquaculture","","","","","","","","","$0","","","","","hump-island-oyster-company","true"
"387",387,"Hydrocolloid Indonesia","Indonesia","Applications","http://www.hydrocolloid-indonesia.com/","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","hydrocolloid-indonesia","true"
"388",388,"Hyndla ehf","Iceland","Research","https://hyndla.is/","Schizymenia jonssonii","","","","","","","","","","$0","","","","","hyndla-ehf","true"
"389",389,"Iberagar","Portugal","Applications","http://www.iberagar.com/","","","Hydrocolloids","Agar
Carrageenan","","","","","","","$0","","","","","iberagar","true"
"390",390,"Ibis Madagascar","Madagascar","Farming & harvesting","http://www.ibis-algoculture.com/ibis/","Kappaphycus alvarezii
E. spinosum","Aquaculture","","","","","","1000 - 10 000 tonnes","","","$0","","","","","ibis-madagascar","true"
"391",391,"Iceland Organic","Iceland","Farming & harvesting
Applications","https://icelandorganic.com/","","Harvesting","Food","Snacks and seasoning","","","","","","","$0","","","","","iceland-organic","true"
"392",392,"Ikooma","Belize","Applications","https://www.instagram.com/ikoomahair/?hl=en","Eucheuma isiforme","","Personal care","","","","2019","","","","$0","","","","","ikooma","true"
"393",393,"Imbambosi","South Africa","Farming & harvesting
Applications","https://imbambosi.com/","Ulva uncialis
Ecklonia maxima
Porphyra capensis","Harvesting","Food","","","","2021","0 - 10 tonnes","","","$0","Research / product development","","","","imbambosi","true"
"394",394,"Immersion Group (Seascape Restorations)","Australia","Farming & harvesting","https://seascaperestorations.com.au/","Asparagopsis armata","Aquaculture","Feed","Livestock methane reduction","","","2021","0 - not started yet","","","$0","Pilot / Demonstration","","","Male CEO
Male founded","immersion-group-seascape-restorations","true"
"395",395,"Ina Food Industry","Japan","Applications","https://www.kantenpp.co.jp/","","","Hydrocolloids","Agar
Carrageenan","","","","","","","$0","","","","","ina-food-industry","true"
"396",396,"Inambak Seaweed Farmers Association","Philippines","Farming & harvesting","","","Aquaculture","","","","","","","","","$0","","","","","inambak-seaweed-farmers-association","true"
"397",397,"Ínclita Seaweed Solutions","Portugal","Applications","http://www.inclitaseaweedsolutions.com/","","","Nutraceuticals
Personal care
Food
Feed","","Blue Bio Value
RDI Partners
Fundo Azul","","2018","","","","$0","Research / product development","","","Mixed founding team","ínclita-seaweed-solutions","true"
"398",398,"Indian Ocean Greens","Australia","Farming & harvesting","http://www.indianoceanseavegetables.com.au/","","Aquaculture","","","","","2019","0 - not started yet","","","$0","Validation / Traction","","","","indian-ocean-greens","true"
"399",399,"Indo Seaweed","Indonesia","Applications","https://www.ingredientsnetwork.com/pt-indo-seaweed-comp249189.html","E. spinosum
E. cottonii","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","indo-seaweed","true"
"400",400,"Indoflora Cipta Mandiri","Indonesia","Applications","https://indofloraseaweed.com/","","","Hydrocolloids","Carrageenan
Agar","","","","","","","$0","","","","","indoflora-cipta-mandiri","true"
"401",401,"Indogum (Gumindo Perkasa Industri)","Indonesia","Applications","https://indogum.com/","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","indogum-gumindo-perkasa-industri","true"
"402",402,"Indoking Aneka Agar-Agar Industry","Indonesia","Applications","http://indoking.co.id/","","","Hydrocolloids","Agar","","","","","","","$0","","","","","indoking-aneka-agar-agar-industry","true"
"403",403,"Indomakmur","Indonesia","Applications","https://www.linkedin.com/company/pt-indomakmur-food-ingredients-manufacturer/about/","","","Hydrocolloids","","","","","","","","$0","","","","","indomakmur","true"
"404",404,"Indonesia Seaweed Industry Association (ASTRULI)","Indonesia","Multi-stakeholder platform","https://www.indonesiaseaweed.com/","","","","","","Producers association","","","","","$0","","","","","indonesia-seaweed-industry-association-astruli-","true"
"405",405,"Indonusa Algaemas Prima","Indonesia","Applications","http://algaemas.com/","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","indonusa-algaemas-prima","true"
"406",406,"Industrial Plankton","USA","Infrastructure & equipment","https://industrialplankton.com/","","","","","","","","","","","$0","","","","","industrial-plankton","true"
"407",407,"Ingredients And Gums Corp.","Philippines","Applications","","","","","","","","","","","","$0","","","","","ingredients-and-gums-corp","true"
"408",408,"Ingredients Solutions Inc.","USA","Applications","https://www.isi.us.com/","","","Hydrocolloids","Agar
Alginate
Carrageenan","","","","","","","$0","","","","","ingredients-solutions-inc","true"
"409",409,"Inland Sea","UK","Applications","https://inlandsea.co.uk/","","","Textiles","","","","2017","","","","$0","Validation / Traction","","","","inland-sea","true"
